"","year","state","party","digit","total_counties","expected","observed","expected_p","obs_proportion","sd_digit","abs_residual","cont_correction","apply_correction","z_stat","z_sig","follow_chisquare"
"1",1996,"AL","democrat",4,67,6.49297087153978,13,0.0969100130080564,0.194029850746269,0.0361420213500323,0.0971198377382122,0.00746268656716418,TRUE,2.48069000631499,TRUE,FALSE
"2",1996,"AR","democrat",1,75,22.5772496747986,14,0.301029995663981,0.186666666666667,0.0529667741607289,0.114363328997315,0.00666666666666667,TRUE,2.03328716987445,TRUE,FALSE
"3",1996,"AR","democrat",3,75,9.37040524562249,16,0.1249387366083,0.213333333333333,0.0381801080325033,0.0883945967250334,0.00666666666666667,TRUE,2.14058928248161,TRUE,FALSE
"4",1996,"GA","republican",2,159,27.9985101898533,39,0.176091259055681,0.245283018867925,0.0302071597514684,0.0691917598122433,0.00314465408805031,TRUE,2.18647189168397,TRUE,TRUE
"5",1996,"IA","democrat",2,99,17.4330346465124,34,0.176091259055681,0.343434343434343,0.0382816684167021,0.167343084378662,0.00505050505050505,TRUE,4.23943328596801,TRUE,FALSE
"6",1996,"IA","democrat",6,99,6.62773217343071,1,0.0669467896306132,0.0101010101010101,0.0251188924409955,0.0568457795296031,0.00505050505050505,TRUE,2.06200470823965,TRUE,FALSE
"7",1996,"IA","republican",2,99,17.4330346465124,26,0.176091259055681,0.262626262626263,0.0382816684167021,0.0865350035705814,0.00505050505050505,TRUE,2.12855139000486,TRUE,FALSE
"8",1996,"IA","republican",3,99,12.3689349242217,24,0.1249387366083,0.242424242424242,0.0332315185521674,0.117485505815942,0.00505050505050505,TRUE,3.38338437916808,TRUE,FALSE
"9",1996,"IA","republican",8,99,5.06409972229075,0,0.0511525224473813,0,0.0221418616954382,0.0511525224473813,0.00505050505050505,TRUE,2.0821201952668,TRUE,FALSE
"10",1996,"ID","democrat",1,44,13.2453198092152,21,0.301029995663981,0.477272727272727,0.0691524891707589,0.176242731608746,0.0113636363636364,TRUE,2.38428286851645,TRUE,FALSE
"11",1996,"ID","democrat",8,44,2.25071098768478,6,0.0511525224473813,0.136363636363636,0.0332127925431573,0.0852111139162551,0.0113636363636364,TRUE,2.22346487296002,TRUE,FALSE
"12",1996,"IL","republican",1,102,30.7050595577261,16,0.301029995663981,0.156862745098039,0.045418634140639,0.144167250565942,0.00490196078431373,TRUE,3.06625886966113,TRUE,FALSE
"13",1996,"IL","republican",3,102,12.7437511340466,22,0.1249387366083,0.215686274509804,0.0327391725408123,0.090747537901504,0.00490196078431373,TRUE,2.62210588890651,TRUE,FALSE
"14",1996,"IN","democrat",4,92,8.91572119674119,17,0.0969100130080564,0.184782608695652,0.03084295113376,0.0878725956875957,0.00543478260869565,TRUE,2.67282507180921,TRUE,FALSE
"15",1996,"IN","democrat",8,92,4.70603206515908,0,0.0511525224473813,0,0.0229687741469028,0.0511525224473813,0.00543478260869565,TRUE,1.99043011813717,TRUE,FALSE
"16",1996,"KS","democrat",1,105,31.608149544718,21,0.301029995663981,0.2,0.0447650945411845,0.101029995663981,0.00476190476190476,TRUE,2.15051686785802,TRUE,TRUE
"17",1996,"KS","republican",1,105,31.608149544718,45,0.301029995663981,0.428571428571429,0.0447650945411845,0.127541432907447,0.00476190476190476,TRUE,2.74275145409519,TRUE,TRUE
"18",1996,"KY","democrat",1,120,36.1235994796777,49,0.301029995663981,0.408333333333333,0.0418739116649142,0.107303337669352,0.00416666666666667,TRUE,2.46302929203299,TRUE,TRUE
"19",1996,"MI","republican",4,83,8.04353107966868,14,0.0969100130080564,0.168674698795181,0.0324721312184076,0.0717646857871243,0.00602409638554217,TRUE,2.02452339698343,TRUE,TRUE
"20",1996,"MS","democrat",1,82,24.6844596444465,16,0.301029995663981,0.195121951219512,0.0506555726564486,0.105908044444469,0.00609756097560976,TRUE,1.97037518746031,TRUE,FALSE
"21",1996,"MS","democrat",2,82,14.4394832425659,26,0.176091259055681,0.317073170731707,0.0420631243895767,0.140981911676026,0.00609756097560976,TRUE,3.20671259346205,TRUE,FALSE
"22",1996,"MS","republican",4,82,7.94662106666063,14,0.0969100130080564,0.170731707317073,0.0326695320105855,0.0738216943090168,0.00609756097560976,TRUE,2.0730059221988,TRUE,FALSE
"23",1996,"MT","democrat",1,56,16.8576797571829,25,0.301029995663981,0.446428571428571,0.0612971301726453,0.14539857576459,0.00892857142857143,TRUE,2.22636857470565,TRUE,TRUE
"24",1996,"NC","democrat",4,100,9.69100130080564,17,0.0969100130080564,0.17,0.029583519463856,0.0730899869919436,0.005,TRUE,2.30161888192963,TRUE,TRUE
"25",1996,"NY","republican",2,59,10.3893842842852,4,0.176091259055681,0.0677966101694915,0.0495886686653083,0.10829464888619,0.00847457627118644,TRUE,2.01296133374188,TRUE,TRUE
