"","year","state","party","digit","total_counties","expected","observed","expected_p","obs_proportion","sd_digit","abs_residual","cont_correction","apply_correction","z_stat","z_sig","follow_chisquare"
"1",1996,"AL","democrat",1,67,20.1690097094867,13,0.301029995663981,0.194029850746269,0.056039822910664,0.107000144917713,0.00746268656716418,TRUE,1.77619152204007,FALSE,FALSE
"2",1996,"AL","democrat",2,67,11.7981143567306,7,0.176091259055681,0.104477611940299,0.046534071539334,0.0716136471153827,0.00746268656716418,TRUE,1.37858043420923,FALSE,FALSE
"3",1996,"AL","democrat",3,67,8.3708953527561,14,0.1249387366083,0.208955223880597,0.0403952577206008,0.0840164872722971,0.00746268656716418,TRUE,1.89511851204484,FALSE,FALSE
"4",1996,"AL","democrat",4,67,6.49297087153978,13,0.0969100130080564,0.194029850746269,0.0361420213500323,0.0971198377382122,0.00746268656716418,TRUE,2.48069000631499,TRUE,FALSE
"5",1996,"AL","democrat",5,67,5.30514348519086,9,0.0791812460476248,0.134328358208955,0.0329883688959831,0.0551471121613304,0.00746268656716418,TRUE,1.44549206856883,FALSE,FALSE
"6",1996,"AL","democrat",6,67,4.48543490525109,4,0.0669467896306132,0.0597014925373134,0.0305337877418149,0.00724529709329979,0.00746268656716418,FALSE,0.237287858111938,FALSE,FALSE
"7",1996,"AL","democrat",7,67,3.88546044750501,2,0.0579919469776867,0.0298507462686567,0.0285544468302653,0.02814120070903,0.00746268656716418,TRUE,0.72417841833127,FALSE,FALSE
"8",1996,"AL","democrat",8,67,3.42721900397455,4,0.0511525224473813,0.0597014925373134,0.0269149966227706,0.00854897008993214,0.00746268656716418,TRUE,0.0403597867015501,FALSE,FALSE
"9",1996,"AL","democrat",9,67,3.06575186756523,1,0.0457574905606751,0.0149253731343284,0.0255283695331073,0.0308321174263468,0.00746268656716418,TRUE,0.915429825194094,FALSE,FALSE
"10",1996,"AL","republican",1,67,20.1690097094867,20,0.301029995663981,0.298507462686567,0.056039822910664,0.00252253297741406,0.00746268656716418,FALSE,0.0450132217840046,FALSE,TRUE
"11",1996,"AL","republican",2,67,11.7981143567306,9,0.176091259055681,0.134328358208955,0.046534071539334,0.041762900846726,0.00746268656716418,TRUE,0.737098928697198,FALSE,TRUE
"12",1996,"AL","republican",3,67,8.3708953527561,11,0.1249387366083,0.164179104477612,0.0403952577206008,0.039240367869312,0.00746268656716418,TRUE,0.786668611497479,FALSE,TRUE
"13",1996,"AL","republican",4,67,6.49297087153978,8,0.0969100130080564,0.119402985074627,0.0361420213500323,0.0224929720665704,0.00746268656716418,TRUE,0.415867318372685,FALSE,TRUE
"14",1996,"AL","republican",5,67,5.30514348519086,5,0.0791812460476248,0.0746268656716418,0.0329883688959831,0.00455438037598303,0.00746268656716418,FALSE,0.138060186920536,FALSE,TRUE
"15",1996,"AL","republican",6,67,4.48543490525109,3,0.0669467896306132,0.0447761194029851,0.0305337877418149,0.0221706702276281,0.00746268656716418,TRUE,0.481695352860593,FALSE,TRUE
"16",1996,"AL","republican",7,67,3.88546044750501,4,0.0579919469776867,0.0597014925373134,0.0285544468302653,0.0017095455596267,0.00746268656716418,FALSE,0.0598696787855378,FALSE,TRUE
"17",1996,"AL","republican",8,67,3.42721900397455,2,0.0511525224473813,0.0298507462686567,0.0269149966227706,0.0213017761787246,0.00746268656716418,TRUE,0.51417764622167,FALSE,TRUE
"18",1996,"AL","republican",9,67,3.06575186756523,5,0.0457574905606751,0.0746268656716418,0.0255283695331073,0.0288693751109666,0.00746268656716418,TRUE,0.838545074962212,FALSE,TRUE
"19",1996,"AR","democrat",1,75,22.5772496747986,14,0.301029995663981,0.186666666666667,0.0529667741607289,0.114363328997315,0.00666666666666667,TRUE,2.03328716987445,TRUE,FALSE
"20",1996,"AR","democrat",2,75,13.2068444291761,20,0.176091259055681,0.266666666666667,0.0439822884867483,0.0905754076109854,0.00666666666666667,TRUE,1.90778478863373,FALSE,FALSE
"21",1996,"AR","democrat",3,75,9.37040524562249,16,0.1249387366083,0.213333333333333,0.0381801080325033,0.0883945967250334,0.00666666666666667,TRUE,2.14058928248161,TRUE,FALSE
"22",1996,"AR","democrat",4,75,7.26825097560423,7,0.0969100130080564,0.0933333333333333,0.0341601058520676,0.00357667967472308,0.00666666666666667,FALSE,0.104703413104518,FALSE,FALSE
"23",1996,"AR","democrat",5,75,5.93859345357186,5,0.0791812460476248,0.0666666666666667,0.0311793898426445,0.0125145793809582,0.00666666666666667,TRUE,0.187556996586675,FALSE,FALSE
"24",1996,"AR","democrat",6,75,5.02100922229599,7,0.0669467896306132,0.0933333333333333,0.0288594102477898,0.0263865437027201,0.00666666666666667,TRUE,0.683308385955797,FALSE,FALSE
"25",1996,"AR","democrat",7,75,4.3493960233265,1,0.0579919469776867,0.0133333333333333,0.0269886102058934,0.0446586136443534,0.00666666666666667,TRUE,1.40770297869546,FALSE,FALSE
"26",1996,"AR","democrat",8,75,3.8364391835536,5,0.0511525224473813,0.0666666666666667,0.0254390623240851,0.0155141442192854,0.00666666666666667,TRUE,0.347791024681052,FALSE,FALSE
"27",1996,"AR","democrat",9,75,3.43181179205064,0,0.0457574905606751,0,0.0241284735304619,0.0457574905606751,0.00666666666666667,TRUE,1.62011176731329,FALSE,FALSE
"28",1996,"AR","republican",1,75,22.5772496747986,29,0.301029995663981,0.386666666666667,0.0529667741607289,0.0856366710026855,0.00666666666666667,TRUE,1.49093475272597,FALSE,FALSE
