year,state_po,party,candidatevotes
2000,AR,democrat,4102
2000,AR,republican,2988
2000,AR,democrat,2315
2000,AR,republican,4600
2000,AR,democrat,6669
2000,AR,republican,11244
2000,AR,democrat,1563
2000,AR,republican,1862
2000,AR,democrat,68320
2000,AR,republican,55866
2000,AR,democrat,3019
2000,AR,republican,2673
2000,AR,democrat,4986
2000,AR,republican,3414
2000,AR,democrat,12700
2000,AR,republican,18617
2000,AR,democrat,1444
2000,AR,republican,2399
2000,AR,democrat,1229
2000,AR,republican,2610
2000,AR,democrat,15555
2000,AR,republican,23483
2000,AR,democrat,2095
2000,AR,republican,2111
2000,AR,democrat,3236
2000,AR,republican,3698
2000,AR,democrat,2043
2000,AR,republican,2623
2000,AR,democrat,6261
2000,AR,republican,8647
2000,AR,democrat,3202
2000,AR,republican,3485
2000,AR,democrat,21425
2000,AR,republican,28231
2000,AR,democrat,8342
2000,AR,republican,13170
2000,AR,democrat,1699
2000,AR,republican,898
2000,AR,democrat,3062
2000,AR,republican,3223
2000,CA,democrat,342889
2000,CA,republican,119279
2000,CA,democrat,265
2000,CA,republican,281
2000,CA,democrat,5906
2000,CA,republican,8766
2000,CA,democrat,31338
2000,CA,republican,45584
2000,CA,democrat,7093
2000,CA,republican,10599
2000,CA,democrat,1745
2000,CA,republican,3629
2000,CA,democrat,224338
2000,CA,republican,141373
2000,CA,democrat,3117
2000,CA,republican,4526
2000,CA,democrat,26220
2000,CA,republican,42045
2000,CA,democrat,95059
2000,CA,republican,117342
2000,CA,democrat,2498
2000,CA,republican,5795
2000,CA,democrat,24851
2000,CA,republican,23219
2000,CA,democrat,15489
2000,CA,republican,12524
2000,CA,democrat,2652
2000,CA,republican,4713
2000,CA,democrat,66003
2000,CA,republican,110663
2000,CA,democrat,11041
2000,CA,republican,16377
2000,CA,democrat,10717
2000,CA,republican,8699
2000,CA,democrat,2982
2000,CA,republican,7080
2000,CA,democrat,1710505
2000,CA,republican,871930
2000,CA,democrat,11650
2000,CA,republican,20283
2000,CA,democrat,79135
2000,CA,republican,34872
2000,CA,democrat,2816
2000,CA,republican,4727
2000,CA,democrat,16634
2000,CA,republican,12272
2000,CA,democrat,22726
2000,CA,republican,26102
2000,CA,democrat,945
2000,CA,republican,2969
2000,CA,democrat,1788
2000,CA,republican,2296
2000,CA,democrat,67618
2000,CA,republican,43761
2000,CA,democrat,28097
2000,CA,republican,20633
2000,CA,democrat,17670
2000,CA,republican,25998
2000,CA,democrat,391819
2000,CA,republican,541299
2000,CA,democrat,42449
2000,CA,republican,69835
2000,CA,democrat,3458
2000,CA,republican,6343
2000,CA,democrat,202576
2000,CA,republican,231955
2000,CA,democrat,212792
2000,CA,republican,195619
2000,CA,democrat,9131
2000,CA,republican,7015
2000,CA,democrat,214749
2000,CA,republican,221757
